3dLine|timeseries
3d_line_acu|timeseries
Acumulado Eje A|timeseries
Acumulado Eje B|timeseries
Alarmas Serie|alarm
Alarmas Time|alarm
Alarms table|alarm
Anexos 2|timeseries
Annexes Demo .|latest
Annexes Editable Form|latest
Annexes Editable Form DZ|latest
Asset admin table|latest
Attributes card|latest
Balance Total|timeseries
Balance Total V1|timeseries
Bar TimeSeries Pluviometros|timeseries
Bars|latest
Basic GPIO Control|rpc
Basic GPIO Panel|latest
Beemetry INC  Andy|timeseries
COntador excedencias1|timeseries
Cards|latest
Change Dashboard State|static
Chart 2|timeseries
Colores|timeseries
Compass|latest
Contado2|latest
Contador|alarm
Contador Bar|latest
Contador Excedencias2|timeseries
Contador Excedencias4|timeseries
Control Personalizado|rpc
Control-Switch IOT|latest
Controles Input|static
Controles Nexa Input|static
Controles/EditarEsteNorte|latest
Corte DP1 02  Puntos Desarrollo...|latest
Corte con Lineas...|latest
Corte con Puntos|latest
Dashboard state widget|static
DataTable prueba|timeseries
Datatables con Jquery|timeseries
Datatables con Jquery V2|timeseries
Date-range-navigator|static
Desarrollo Multiple Axis Hr|timeseries
Desarrollo- Multiple Axis|timeseries
Desarrollo-Multiple Axis Caudal-Precipitacion|timeseries
Desplzamiento|timeseries
Detalle de sismos|timeseries
Device admin table|latest
Device claiming widget|static
Digital horizontal bar|latest
Digital speedometer|latest
Digital thermometer|latest
Digital vertical bar|latest
Displacement|timeseries
Double Slider|rpc
Doughnut|latest
Download  Guralp X|latest
Download Kinemetrics|latest
EJE0|timeseries
EJE1|timeseries
EJE2|timeseries
Edge Quick Overview|latest
Elimina Registros|timeseries
Entities hierarchy|latest
Entities table|latest
Excedencias1|timeseries
Excedencias2|timeseries
Excedencias3|timeseries
Excedencias4|timeseries
Excel_sismografo|static
Files|static
Formula SOIL|latest
Formulas SOIL CARD|latest
Frecuencias|timeseries
Gateway Configuration|static
Gateway configuration (Single device)|latest
Gateway events|latest
Gauge|latest
Gauge 4|latest
Google Maps|latest
Graficas por Tramos|timeseries
HERE Map|latest
HTML Card|static
HTML Value Card|latest
Higchart Demo|timeseries
Horizontal bar|latest
Image Map|latest
InPlaceA|timeseries
InPlaceAccu3DAT|timeseries
InPlaceAcu3D|timeseries
InPlaceB|timeseries
InPlaceInc3D|timeseries
InPlaceInc3DAT|timeseries
Inclinometro Acumulado|timeseries
Inclinometro Incremental|timeseries
